Activity,Begin,End,Order,Done
Complete required training,2024-06-24,2024-07-01,1,Done
Make data analysis plan,2024-07-01,2024-12-19,2,In Progress
Meet with Analyst to get Data,2024-09-15,2024-12-03,3,Done
Clean and analyze the dataset,2024-12-03,2025-01-15,4,In Progress
Make outputs (write paper etc.) ,2025-01-01,2025-02-28,5,Not Started
